mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
4.5629e+06,0.36517,1,33.566,1,1000,1.3863,1.5511e+05,5755.6,7.8227e+08,100,7.731e+06,3,4.9991,2.9996,1.3684e+05,102,1.3684e+05
3.1596e+06,0.3836,0.7862,53.805,1,1000,1.3863,4.6599e+05,1768.8,2.046e+07,28.776,5.9902e+06,2.6953,4.5818,1.4814,2.6703e+05,103,2.6703e+05
3.1684e+06,0.99993,0.99922,243.2,1,1000,1.3863,4.261e+05,2294.3,7.2718e+08,10.035,3.2502e+06,2.7457,4.9789,2.9998,7.9909e+06,104,7.9909e+06
3.4728e+06,0.45048,0.57853,161.76,1,1000,1.3863,98636,8628.9,2.679e+08,37.854,2.4577e+06,0.81206,3.1281,2.2625,5.1854e+08,105,5.1854e+08
4.5986e+06,0.91767,0.45019,1.8391,1,1000,1.3863,3.3806e+05,3093.9,9.6149e+08,8.8465,3.1313e+06,1.486,2.1398,2.7707,2.8298e+05,106,2.8298e+05
3.2278e+06,0.31235,0.9965,370.35,1,1000,1.3863,3.0368e+05,3787.4,9.2555e+08,8.1496,7.1153e+06,2.4165,4.9712,2.995,1.9507e+06,107,1.9507e+06
4.9316e+06,0.98291,0.00223,71.974,1,1000,1.3863,13338,0.065151,9.5859e+08,82.091,6.4535e+06,2.244,3.0148,0.2497,15127,108,15127
3.1089e+06,0.30073,0.33652,3.2931,1,1000,1.3863,4.3721e+05,8954.4,5.3215e+07,97.901,8.2704e+06,2.3535,4.0457,2.304,30121,109,30121
4.8624e+06,0.5516,0.45031,45.297,1,1000,1.3863,73984,7329.1,1.4993e+08,96.593,6.4945e+06,2.5153,2.7268,2.01,6.8474e+06,110,6.8475e+06
4.7438e+06,0.56663,0.61089,319.46,1,1000,1.3863,2.1318e+05,9.2978,3.4711e+08,99.729,8.3721e+06,1.5311,0.29863,1.3383,8.8283e+05,111,8.8283e+05
4.213e+06,0.55009,0.00056619,3.4578,1,1000,1.3863,3.8315e+05,1.3383,9.2697e+07,31.424,5.7674e+06,0.97074,4.6731,1.8696,13463,112,13463
4.3027e+06,0.81335,0.45031,444.95,1,1000,1.3863,4.9105e+05,5185.7,3.4873e+08,39.963,2.1789e+06,2.9486,4.9601,2.01,8.5986e+08,113,8.5986e+08
3.0652e+06,0.30752,0.99725,316.56,1,1000,1.3863,4.4081e+05,9420.7,9.4896e+08,61.085,5.6085e+05,0.84635,0.4322,1.9659,4.2131e+11,114,4.2131e+11
3.8471e+06,0.31269,0.60462,599.22,1,1000,1.3863,3.2874e+05,2704.6,7.3872e+07,19.756,1.3982e+06,0.19561,3.7427,1.8362,2.1754e+09,115,2.1754e+09
4.4131e+06,0.51264,0.99725,263.04,1,1000,1.3863,4.0543e+05,2531.9,2.4424e+07,94.28,5.7878e+06,2.6709,4.6781,2.1081,5.3096e+06,116,5.3096e+06
3.9549e+06,0.40545,0.00057477,2.6977,1,1000,1.3863,3.9184e+05,7760,1.422e+08,49.548,8.5489e+06,2.741,3.9573,1.4501,34672,117,34672
4.1079e+06,0.99935,0.91858,480.05,1,1000,1.3863,4507.6,2025.9,8.8061e+08,19.816,6.295e+06,1.9144,1.2683,2.8119,2.6252e+08,118,2.6253e+08
4.7531e+06,0.60047,0.45031,454.22,1,1000,1.3863,31932,7429.6,6.0341e+08,30.303,3.2076e+06,2.3953,0.80297,2.01,2.5084e+10,119,2.5084e+10
4.8465e+06,0.30097,0.67175,552.55,1,1000,1.3863,2.21e+05,3618.8,6.2561e+08,77.563,1.3075e+06,2.9992,4.9951,2.9863,1.7262e+08,120,1.7262e+08
3.8375e+06,0.33394,0.00058303,9.9191,1,1000,1.3863,2.3115e+05,135.27,6.0502e+08,0.01429,4.453e+06,1.1304,0.92672,1.7275,64708,121,64708
3.7806e+06,0.93172,0.088304,363.09,1,1000,1.3863,1.5429e+05,4696,7.7945e+08,91.606,4.9691e+06,1.6239,0.11041,2.9951,1.4161e+11,122,1.4161e+11
4.0506e+06,0.4512,0.45031,376.88,1,1000,1.3863,4.6378e+05,7036.5,6.9465e+08,86.275,49393,0.013781,2.7011,2.0649,7.3957e+12,123,7.3957e+12
2.9532e+06,0.51798,0.45031,368.49,1,1000,1.3863,62542,7750.7,2.0425e+07,27.547,2.671e+05,0.4279,1.6021,2.01,4.948e+10,124,4.948e+10
2.9782e+06,0.30091,0.44936,0.86665,1,1000,1.3863,4.153e+05,6686.5,7.2117e+08,16.692,1.5044e+06,2.4648,3.8196,0.60297,4.2176e+05,125,4.2176e+05
3.0836e+06,0.35166,0.99907,73.33,1,1000,1.3863,2.5775e+05,4188.8,5.9383e+08,53.958,8.4137e+06,2.7427,4.9892,2.971,1.2478e+05,126,1.2478e+05
3.423e+06,0.82039,0.45031,124,1,1000,1.3863,1.5321e+05,1911.6,6.5156e+07,82.317,9.3985e+05,2.838,1.2238,2.01,4.1735e+08,127,4.1735e+08
4.2073e+06,0.86548,0.0028089,537.71,1,1000,1.3863,4.899e+05,6532.2,2.8414e+08,75.963,71420,2.7415,0.15778,2.9202,1.8323e+13,128,1.8323e+13
3.0002e+06,0.34698,0.0033286,396.44,1,1000,1.3863,96743,914.49,1.6797e+08,64.733,8.5655e+06,2.6592,4.9962,2.9935,1.2843e+05,129,1.2843e+05
3.6061e+06,0.79042,0.62642,0.65531,1,1000,1.3863,4.2671e+05,7274.1,7.8089e+08,99.943,3.6505e+06,2.9906,4.2722,2.3776,34630,130,34630
3.1741e+06,0.95507,0.99702,251.47,1,1000,1.3863,77009,1650.2,8.9337e+08,88.981,8.9519e+06,2.5945,3.3405,0.56341,3.7619e+07,131,3.7619e+07
